month,fiscal_year,month_abbr,encounters,presidency
2021-10-01,2022,OCT,187136,Biden
2021-11-01,2022,NOV,198553,Biden
2021-12-01,2022,DEC,205691,Biden
2022-01-01,2022,JAN,186808,Biden
2022-02-01,2022,FEB,190578,Biden
2022-03-01,2022,MAR,250404,Biden
2022-04-01,2022,APR,262109,Biden
2022-05-01,2022,MAY,274992,Biden
2022-06-01,2022,JUN,247523,Biden
2022-07-01,2022,JUL,238929,Biden
2022-08-01,2022,AUG,251521,Biden
2022-09-01,2022,SEP,272338,Biden
2022-10-01,2023,OCT,278317,Biden
2022-11-01,2023,NOV,284624,Biden
2022-12-01,2023,DEC,302392,Biden
2023-01-01,2023,JAN,209151,Biden
2023-02-01,2023,FEB,213911,Biden
2023-03-01,2023,MAR,259471,Biden
2023-04-01,2023,APR,276036,Biden
2023-05-01,2023,MAY,275166,Biden
2023-06-01,2023,JUN,211457,Biden
2023-07-01,2023,JUL,245154,Biden
2023-08-01,2023,AUG,304073,Biden
2023-09-01,2023,SEP,341392,Biden
2023-10-01,2024,OCT,309024,Biden
2023-11-01,2024,NOV,308605,Biden
2023-12-01,2024,DEC,370883,Biden
2024-01-01,2024,JAN,242530,Biden
2024-02-01,2024,FEB,256071,Biden
2024-03-01,2024,MAR,246505,Biden
2024-04-01,2024,APR,247929,Biden
2024-05-01,2024,MAY,240924,Biden
2024-06-01,2024,JUN,204932,Biden
2024-07-01,2024,JUL,170180,Biden
2024-08-01,2024,AUG,158893,Biden
2024-09-01,2024,SEP,144666,Biden
2024-10-01,2025,OCT,142742,Biden
2024-11-01,2025,NOV,124972,Biden
2024-12-01,2025,DEC,124482,Biden
2025-01-01,2025,JAN,81479,Biden
2025-02-01,2025,FEB,28613,Trump 2
2025-03-01,2025,MAR,29013,Trump 2
2025-04-01,2025,APR,29197,Trump 2
2025-05-01,2025,MAY,29470,Trump 2
2025-06-01,2025,JUN,25185,Trump 2
2025-07-01,2025,JUL,24589,Trump 2
2025-08-01,2025,AUG,26162,Trump 2
2025-09-01,2025,SEP,26002,Trump 2
2025-10-01,2026,OCT,30551,Trump 2
2025-11-01,2026,NOV,30375,Trump 2
