name,address,city,state,latitude,longitude
"Office of the Principal Legal Advisor, Los Angeles (Adelanto)",10250 Rancho Road,Adelanto,CA,34.5599467,-117.4421505
"Office of the Principal Legal Advisor, Washington, D.C. (Annandale)","7619 Little River Turnpike, Suite 900",Annandale,VA,38.8315179,-77.2098419
"Office of the Principal Legal Advisor, Atlanta","180 Ted Turner Drive, SW, Suite 332",Atlanta,GA,33.7495454,-84.3973764
Atlanta Field Office,"180 Ted Turner Dr. SW, Suite 522",Atlanta,GA,33.749609,-84.3973461
"Office of the Principal Legal Advisor, Atlanta","Peachtree Summit Federal Building, 401 W. Peachtree Street, NW, Suite 2850",Atlanta,GA,33.7653676,-84.387193
HSI Atlanta,1100 Centre Parkway,Atlanta,GA,33.6533818,-84.5124864
"Office of the Principal Legal Advisor, Baltimore","31 Hopkins Plaza, Room 1600",Baltimore,MD,39.2880994,-76.6167868
Baltimore Field Office,"31 Hopkins Plaza, 6th Floor",Baltimore,MD,39.2879833,-76.616563
Baltimore - Community Relations Officer,"40 South Gay Street, 3rd Floor",Baltimore,MD,39.2881981,-76.6092072
HSI Baltimore,"40 South Gay Street, 3rd Floor",Baltimore,MD,39.2881981,-76.6092072
"Office of the Principal Legal Advisor, Buffalo (Batavia)",4250 Federal Drive,Batavia,NY,43.0203466,-78.2025602
"Office of the Principal Legal Advisor, Boston","15 New Sudbury Street, Room 425",Boston,MA,42.3609639,-71.06031329999999
HSI Boston,"10 Causeway Street, Room 722",Boston,MA,42.365097,-71.06305499999999
"Office of the Principal Legal Advisor, Detroit (Cleveland)","925 Keynote Circle, Room 201",Brooklyn Heights,OH,41.4117491,-81.6655486
HSI Buffalo,"250 Delaware Ave, Suite 814",Buffalo,NY,42.8911691,-78.8769453
"Office of the Principal Legal Advisor, Buffalo","250 Delaware Avenue, Suite 773",Buffalo,NY,42.8911691,-78.8769453
Buffalo - Community Relations Officer,"130 Delaware Avenue, Ste 300",Buffalo,NY,42.8880416,-78.8778238
Buffalo Field Office,"250 Delaware Avenue, Floor 7",Buffalo,NY,42.8911691,-78.8769453
Boston Field Office,1000 District Avenue,Burlington,MA,42.4826346,-71.2088722
"Office of the Principal Legal Advisor, Denver",12445 East Caley Avenue,Centennial,CO,39.6014976,-104.8450160
"Office of the Principal Legal Advisor, El Paso (Chaparral)","Trial Attorney Unit, 26 McGregor Range Road",Chaparral,NM,32.0768294,-106.2549005
"Office of the Principal Legal Advisor, Atlanta (Charlotte)","5701 Executive Center Drive, Suite 300",Charlotte,NC,35.20041,-80.74324
"Office of the Principal Legal Advisor, Chicago","55 E. Monroe Street, Suite 1400",Chicago,IL,41.8806789,-87.6257047
"Office of the Principal Legal Advisor, Houston (Conroe)","806 Hilbig Road, Suite 2-201",Conroe,TX,30.336088,-95.44250459999999
"Office of the Principal Legal Advisor, Detroit","Rosa Parks Federal Building, 985 Michigan Avenue, Suite 1010",Detroit,MI,42.3431814,-83.0102646
"Office of the Principal Legal Advisor, San Antonio (Dilley)",300 El Rancho Way,Dilley,TX,28.6578745,-99.2003862
"Office of the Principal Legal Advisor, El Paso","11541 Montana Avenue, Suite O",El Paso,TX,31.80421399999999,-106.2910235
"Office of the Principal Legal Advisor, Newark (Elizabeth)","625 Evans Street, Room 135",Elizabeth,NJ,40.6660324,-74.1898667
"Office of the Principal Legal Advisor, Phoenix (Eloy)",1705 East Hanna Road,Eloy,AZ,32.8176772,-111.5192700
"Office of the Principal Legal Advisor, Phoenix (Florence)",3250 N. Pinal Parkway Avenue,Florence,AZ,33.0639503,-111.3794387
ICE OPR Integrity Coordination Center,"500 12th Street SW, Suite 1049, Mailstop 5099",Washington,DC,38.8840126,-77.027633
Boston - Community Relations Officer,1000 District Avenue,Burlington,MA,42.4826346,-71.2088722
