name,field_office,address_line1,city,state,postal_code,country,phone,address_full,detail_url,latitude,longitude,trac_type_detailed,trac_guaranteed_minimum,trac_average_daily_population,trac_as_of
Abyon | Farmville Detention Center,Washington Field Office,508 Waterworks Road,Farmville,VA,23901,United States,,"508 Waterworks Road Farmville, VA 23901 United States",https://www.ice.gov/detain/detention-facilities/farmville-detention-center,37.32044399999999,-78.44087569999999,,,,
Adams County Correctional Center,New Orleans Field Office,20 Hobo Forks Road,Natchez,MS,39120,United States,,"20 Hobo Forks Road Natchez, MS 39120 United States",https://www.ice.gov/detain/detention-facilities/adams-county-detention-center,31.5574938,-91.2217027,DIGSA,1436,2224,11/28/2025
Adelanto ICE Processing Center,Los Angeles Field Office,Adelanto East 10400 Rancho Road | Adelanto West 10250 Rancho Road,Adelanto,CA,92301,United States,,"Adelanto East 10400 Rancho Road | Adelanto West 10250 Rancho Road Adelanto, CA 92301 United States",https://www.ice.gov/detain/detention-facilities/adelanto-ice-processing-center,34.5591013,-117.4414952,CDF,640,1786,11/28/2025
Alamance County Detention Center,Atlanta Field Office,109 South Maple Street,Graham,NC,27253,United States,,"109 South Maple Street Graham, NC 27253 United States",https://www.ice.gov/detain/detention-facilities/alamance-county-detention-center,36.0683261,-79.40356709999999,,,,
Allen Parish Public Safety Complex,New Orleans Field Office,7340 Highway 26 W,Oberlin,LA,70655,United States,,"7340 Highway 26 W Oberlin, LA 70655 United States",https://www.ice.gov/detain/detention-facilities/allen-parish-public-safety-complex,30.624485,-92.783878,IGSA,170,145,11/28/2025
Anchorage Correctional Complex,Seattle Field Office,1400 E Fourth Ave,Anchorage,AK,99501,United States,,"1400 E Fourth Ave Anchorage, AK 99501 United States",https://www.ice.gov/detain/detention-facilities/anchorage-correctional-complex,61.2185041,-149.8573539,USMS IGA,,3,11/28/2025
Baker County Detention Center,Miami Field Office,1 Sheriff's Office Drive,MacClenny,FL,32063,United States,,"1 Sheriff's Office Drive MacClenny, FL 32063 United States",https://www.ice.gov/detain/detention-facilities/baker-county-facility,30.29596799999999,-82.1217298,,,,
Bluebonnet Detention Facility,Dallas Field Office,400 2nd Street,Anson,TX,79501,United States,,"400 2nd Street Anson, TX 79501 United States",https://www.ice.gov/detain/detention-facilities/bluebonnet-detention-facility,32.7676451,-99.8880841,DIGSA,750,1027,11/28/2025
Boone County Jail,Chicago Field Office,3020 Conrad Lane,Burlington,KY,41005,United States,,"3020 Conrad Lane Burlington, KY 41005 United States",https://www.ice.gov/detain/detention-facilities/boone-county-jail,39.0365031,-84.7283616,USMS IGA,,195,11/28/2025
Broome County Correctional Facility,Buffalo Field Office,155 Lt. VanWinkle Drive,Binghamton,NY,13905,United States,,"155 Lt. VanWinkle Drive Binghamton, NY 13905 United States",https://www.ice.gov/detain/detention-facilities/broome-county-correctional-facility,42.1323993,-75.9167679,,,,
Broward Transitional Center,Miami Field Office,3900 N. Powerline Road,Pompano Beach,FL,33073,United States,,"3900 N. Powerline Road Pompano Beach, FL 33073 United States",https://www.ice.gov/detain/detention-facilities/broward-transitional-center,26.2777097,-80.1521559,CDF,700,668,11/10/2025
Buffalo (Batavia) Service Processing Center,Buffalo Field Office,4250 Federal Drive,Batavia,NY,14020,United States,,"4250 Federal Drive Batavia, NY 14020 United States",https://www.ice.gov/detain/detention-facilities/buffalo-batavia-service-processing-center,43.0201451,-78.2023932,SPC,400,359,09/30/2023
Butler County Sheriff’s Office,Detroit Field Office,705 Hanover Street,Hamilton,OH,45011,United States,,"705 Hanover Street Hamilton, OH 45011 United States",https://www.ice.gov/detain/detention-facilities/butler-county-sheriffs-office,39.3875859,-84.5557427,,,,
Calhoun County Correctional Center,Detroit Field Office,185 E. Michigan Street,Battle Creek,MI,49014,United States,,"185 E. Michigan Street Battle Creek, MI 49014 United States",https://www.ice.gov/detain/detention-facilities/calhoun-county-correctional-center,42.3166565,-85.1757947,IGSA,75,156,11/28/2025
California City Detention Facility,San Francisco Field Office,22844 Virginia Boulevard,California City,CA,93505,United States,,"22844 Virginia Boulevard California City, CA 93505 United States",https://www.ice.gov/detain/detention-facilities/california-city-detention-facility,35.1517183,-117.858652,,,,
Campbell County Detention Center,Chicago Field Office,601 Central Avenue,Newport,KY,41071,United States,(859) 431-4611,"601 Central Avenue Newport, KY 41071 United States",https://www.ice.gov/detain/detention-facilities/campbell-county-detention-center,39.08908419999999,-84.4963222,,,,
Caroline Detention Facility,Washington Field Office,11093 SW Lewis Memorial Dr,Bowling Green,VA,22427,United States,,"11093 SW Lewis Memorial Dr Bowling Green, VA 22427 United States",https://www.ice.gov/detain/detention-facilities/caroline-detention-facility,38.1116967,-77.26721069999999,DIGSA,224,346,11/28/2025
Central Arizona Florence Correctional Center,Phoenix Field Office,1100 Bowling Road,Florence,AZ,85132,United States,,"1100 Bowling Road Florence, AZ 85132 United States",https://www.ice.gov/detain/detention-facilities/florence-correctional-center,33.0433427,-111.3720644,,,,
Central Louisiana ICE Processing Center,New Orleans Field Office,830 Pine Hill Road,Jena,LA,71342,United States,,"830 Pine Hill Road Jena, LA 71342 United States",https://www.ice.gov/detain/detention-facilities/central-louisiana-ipc,31.7089427,-92.1505809,,,,
Chase County Jail,Chicago Field Office,301 South Walnut,Cottonwood Falls,KS,66845,United States,,"301 South Walnut Cottonwood Falls, KS 66845 United States",https://www.ice.gov/detain/detention-facilities/chase-county-jail,38.3678625,-96.5386875,IGSA,,112,11/28/2025
Chippewa County Correctional Facility,Detroit Field Office,325 Court Street,Sault Ste. Marie,MI,49783,United States,,"325 Court Street Sault Ste. Marie, MI 49783 United States",https://www.ice.gov/detain/detention-facilities/chippewa-county-correctional-facility,46.4973719,-84.3455596,,,,
Christian County Jail,Chicago Field Office,410 West 7th Street,Hopkinsville,KY,42240,United States,,"410 West 7th Street Hopkinsville, KY 42240 United States",https://www.ice.gov/detain/detention-facilities/christian-county-jail,36.8682675,-87.490437,USMS IGA,,89,11/28/2025
Cibola County Correctional Center,El Paso Field Office,2000 Cibola Loop,Milan,NM,87021,United States,,"2000 Cibola Loop Milan, NM 87021 United States",https://www.ice.gov/detain/detention-facilities/cibola-county-correctional-center,35.1799003,-107.907208,IGSA,,217,11/28/2025
Cimarron Correctional Facility,Dallas Field Office,3200 S. Kings Hwy,Cushing,OK,74023,United States,,"3200 S. Kings Hwy Cushing, OK 74023 United States",https://www.ice.gov/detain/detention-facilities/cimarron-correctional-facility,35.9434371,-96.7821932,,,,
Clark County Jail,Chicago Field Office,501 E Court Avenue,Jeffersonville,IN,47130,United States,,"501 E Court Avenue Jeffersonville, IN 47130 United States",https://www.ice.gov/detain/detention-facilities/clark-county-jail,38.277738,-85.73775429999999,,,,
