city,role,office_name,address_line1,address_line2,locality,state,postal_code,country,phone,emails,body_text
Adelanto- OPLA,,"Office of the Principal Legal Advisor, Los Angeles (Adelanto)",10250 Rancho Road,,Adelanto,CA,92301,United States,(760) 561-6460,,
Annandale- OPLA,,"Office of the Principal Legal Advisor, Washington, D.C. (Annandale)",7619 Little River Turnpike,Suite 900,Annandale,VA,22003,United States,(703) 962-2800,,"Mailing Address: 500 12th Street SW, Mail Stop 5902 Washington, D.C. 20536-5902 Area of Responsibility: District of Columbia and Virginia (Annandale Immigration Court)"
Atlanta- OPLA,,"Office of the Principal Legal Advisor, Atlanta","180 Ted Turner Drive, SW, Suite 332",,Atlanta,GA,30303,United States,(404) 893-1400,,"Area of Responsibility: Georgia, North Carolina, and South Carolina"
Atlanta- ERO,,Atlanta Field Office,180 Ted Turner Dr. SW,Suite 522,Atlanta,GA,30303,United States,(404) 893-1290,Atlanta.Outreach@ice.dhs.gov,"Area of Responsibility: Georgia, North Carolina, South Carolina Email: Atlanta.Outreach@ice.dhs.gov"
Atlanta- OPLA,,"Office of the Principal Legal Advisor, Atlanta",Peachtree Summit Federal Building,"401 W. Peachtree Street, NW, Suite 2850",Atlanta,GA,30308,United States,(404) 730-9756,,
Atlanta- HSI,,HSI Atlanta,1100 Centre Parkway,,Atlanta,GA,30344,United States,,HSIAtlantaRecruitment@hsi.dhs.gov,"Phone: (404) 346-2300 Recruiting: HSIAtlantaRecruitment@hsi.dhs.gov Fax: (404) 346-2374 Area of Responsibility: Alabama, Georgia"
Atlanta- OPE,,Atlanta – Community Relations Officer,,,Atlanta,GA,,United States,,,"Area of Responsibility: Georgia, South Carolina, North Carolina"
Baltimore- OPLA,,"Office of the Principal Legal Advisor, Baltimore","31 Hopkins Plaza, Room 1600",,Baltimore,MD,21201,United States,(443) 560-0600,,Area of Responsibility: Maryland
Baltimore- ERO,,Baltimore Field Office,31 Hopkins Plaza,6th Floor,Baltimore,MD,21201,United States,(443) 560-0640,Baltimore.Outreach@ice.dhs.gov,Area of Responsibility: Maryland Email: Baltimore.Outreach@ice.dhs.gov
Baltimore- OPE,,Baltimore - Community Relations Officer,"40 South Gay Street, 3rd Floor",,Baltimore,MD,21202,United States,,,Area of Responsibility: Maryland
Baltimore- HSI,,HSI Baltimore,40 South Gay Street,3rd Floor,Baltimore,MD,21202,United States,,HSIBaltimoreRecruitment@hsi.dhs.gov,Phone: (410) 962-2620 Recruiting: HSIBaltimoreRecruitment@hsi.dhs.gov Fax: (410) 962-3469 Area of Responsibility: Maryland
Batavia- OPLA,,"Office of the Principal Legal Advisor, Buffalo (Batavia)",4250 Federal Drive,,Batavia,NY,14020,United States,(585) 344-6600,,
Boston- OPLA,,"Office of the Principal Legal Advisor, Boston","15 New Sudbury Street, Room 425",,Boston,MA,02203,United States,(857) 416-3701,,"Area of Responsibility: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, and Vermont"
Boston- HSI,,HSI Boston,10 Causeway Street,Room 722,Boston,MA,02222,United States,,HSINewEnglandRecruitment@hsi.dhs.gov,"Phone: (857) 557-2762 Recruiting: HSINewEnglandRecruitment@hsi.dhs.gov Fax: (617) 565-7422 Area of Responsibility: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont"
Brooklyn Heights- OPLA,,"Office of the Principal Legal Advisor, Detroit (Cleveland)","925 Keynote Circle, Room 201",,Brooklyn Heights,OH,44131,United States,(216) 749-9955,,
